split,energy_bin_low_GeV,energy_bin_high_GeV,method,N,mean_true_energy_GeV,mean_reco_energy_GeV,mean_response,mean_relative_bias,median_relative_bias,sigma68_residual_GeV,sigma68_residual_over_mean_true
continuous_train,25.0,30.0,standard_DR_self_consistent_GeV,5365,27.51602406726558,26.26298671869787,0.9545644797916416,-0.04543552020835827,-0.002595842890617206,2.673656038455169,0.09716723724034979
continuous_train,30.0,35.0,S_EM_GeV,5335,32.4851066030124,25.221966812634598,0.7766201454268868,-0.2233798545731132,-0.18884572958169754,2.788114959139625,0.08582748375161799
continuous_train,30.0,35.0,C_EM_GeV,5335,32.4851066030124,20.251788338618635,0.6234605583395079,-0.37653944166049214,-0.36973988747324216,3.956329791271348,0.12178903519142127
continuous_train,30.0,35.0,standard_DR_self_consistent_GeV,5335,32.4851066030124,30.817381621534604,0.9489765118797854,-0.05102348812021468,-0.0019628205855295455,3.202864000239007,0.09859484345795559
continuous_train,35.0,40.0,S_EM_GeV,5608,37.4926335494289,29.05150440813267,0.7749236571730336,-0.22507634282696637,-0.18772794710299268,3.2717779621298995,0.08726455445751785
continuous_train,35.0,40.0,C_EM_GeV,5608,37.4926335494289,23.472951710619974,0.6260807717042697,-0.3739192282957303,-0.3651585066271161,4.628993131367691,0.12346406995563536
continuous_train,35.0,40.0,standard_DR_self_consistent_GeV,5608,37.4926335494289,35.54794415440107,0.9481934591490769,-0.051806540850922976,-0.0017639271611614715,3.7489174142094015,0.0999907731012538
continuous_train,40.0,45.0,S_EM_GeV,5342,42.50958322299203,32.89723051519146,0.773981056661987,-0.226018943338013,-0.18720062545508626,3.7503204491581457,0.08822294091864258
continuous_train,40.0,45.0,C_EM_GeV,5342,42.50958322299203,26.764906933908502,0.629649375914445,-0.370350624085555,-0.35868805892954436,5.168221477667958,0.1215777969536205
continuous_train,40.0,45.0,standard_DR_self_consistent_GeV,5342,42.50958322299203,40.27724600862366,0.9476250880002527,-0.052374911999747156,0.0017031923291424,4.242103309180745,0.0997916937206369
continuous_train,45.0,50.0,S_EM_GeV,5549,47.46895959595924,36.78045887356813,0.774901206003128,-0.225098793996872,-0.18805396011413777,3.9817578005648713,0.08388129494424006
continuous_train,45.0,50.0,C_EM_GeV,5549,47.46895959595924,30.059353070076487,0.6332786536932804,-0.36672134630671954,-0.3548787787582517,5.479143828189146,0.11542582510393917
continuous_train,45.0,50.0,standard_DR_self_consistent_GeV,5549,47.46895959595924,45.14095560768553,0.9510133875518072,-0.04898661244819275,0.0026560159246771242,4.819963232266691,0.10153926425379221
continuous_train,50.0,55.0,S_EM_GeV,5398,52.494720969830446,40.63663497143819,0.7741523535258366,-0.22584764647416342,-0.18835676874830704,4.4564462854158435,0.08489322741570594
continuous_train,50.0,55.0,C_EM_GeV,5398,52.494720969830446,33.36371385712175,0.6355693222170002,-0.3644306777829998,-0.3530120064222488,6.1141748855016065,0.11647218563206613
continuous_train,50.0,55.0,standard_DR_self_consistent_GeV,5398,52.494720969830446,49.9892594729888,0.9523171408881768,-0.04768285911182314,0.006622071535998808,5.3165769692357365,0.10127831658141888
continuous_train,55.0,60.0,S_EM_GeV,5495,57.50584491257417,44.32332643736164,0.7708752880761551,-0.22912471192384476,-0.18737004464908213,4.862567700682639,0.08455779943891226
continuous_train,55.0,60.0,C_EM_GeV,5495,57.50584491257417,36.446152860715415,0.633898067695593,-0.366101932304407,-0.35193762866853584,6.634942751005996,0.11537858040505385
continuous_train,55.0,60.0,standard_DR_self_consistent_GeV,5495,57.50584491257417,54.814293114848354,0.9532585899839855,-0.04674141001601443,0.011401191883023243,6.019524621532483,0.10467674426284727
continuous_valid_closure,5.0,10.0,S_EM_GeV,878,7.518965439426155,5.9426639303710695,0.7887598211866278,-0.21124017881337226,-0.20323837231817454,0.8625265914507048,0.11471346668625365
continuous_valid_closure,5.0,10.0,C_EM_GeV,878,7.518965439426155,4.472180664382688,0.5906367252314388,-0.4093632747685612,-0.41544888814212666,1.2301246597645226,0.1636029144800013
continuous_valid_closure,5.0,10.0,standard_DR_self_consistent_GeV,878,7.518965439426155,7.342571589638052,0.9769828047918118,-0.023017195208188256,-0.001865377384889011,0.9786931534806893,0.13016327330736913
continuous_valid_closure,10.0,15.0,S_EM_GeV,897,12.362784260772772,9.700180217330434,0.7846777525704247,-0.21532224742957526,-0.19616509198116794,1.2027970795370289,0.0972917632602807
continuous_valid_closure,10.0,15.0,C_EM_GeV,897,12.362784260772772,7.449143057166556,0.6023470396279049,-0.39765296037209497,-0.4021400390262042,1.7371110426197203,0.14051131249872165
continuous_valid_closure,10.0,15.0,standard_DR_self_consistent_GeV,897,12.362784260772772,11.916354067714881,0.963959151440337,-0.036040848559663004,-0.008172475365718412,1.4450412507419834,0.11688639227711128
continuous_valid_closure,15.0,20.0,S_EM_GeV,887,17.446919082344017,13.656519189159413,0.7826937583555865,-0.2173062416444134,-0.19312070134729975,1.6084473123215286,0.09219090801820991
continuous_valid_closure,15.0,20.0,C_EM_GeV,887,17.446919082344017,10.66432367721308,0.6110908880545336,-0.38890911194546646,-0.3884794113475666,2.3135482167336914,0.13260497201909777
continuous_valid_closure,15.0,20.0,standard_DR_self_consistent_GeV,887,17.446919082344017,16.703702148741424,0.9573084167169448,-0.042691583283055216,-0.012180906856805396,1.818203361340422,0.10421343463330512
continuous_valid_closure,20.0,25.0,S_EM_GeV,929,22.479297069999227,17.544611662883746,0.7803058407368734,-0.2196941592631267,-0.1922874072971591,1.9668879779389847,0.08749775279067712
continuous_valid_closure,20.0,25.0,C_EM_GeV,929,22.479297069999227,13.922436506208829,0.6190830580590527,-0.3809169419409474,-0.37635389873431135,2.821381818595551,0.1255102332519532
continuous_valid_closure,20.0,25.0,standard_DR_self_consistent_GeV,929,22.479297069999227,21.359781218071497,0.9500119879572372,-0.04998801204276276,-0.015233233959532355,2.2225096443175723,0.09886917893370091
continuous_valid_closure,25.0,30.0,S_EM_GeV,855,27.42274959774185,21.554507670473914,0.7858056781847632,-0.21419432181523676,-0.19245539363971598,2.265866343460786,0.0826272484232351
continuous_valid_closure,25.0,30.0,C_EM_GeV,855,27.42274959774185,17.123587961995792,0.6242092418983857,-0.3757907581016143,-0.3755932965120272,3.2543610804898737,0.11867377007146858
continuous_valid_closure,25.0,30.0,standard_DR_self_consistent_GeV,855,27.42274959774185,26.381717873945295,0.961768312078327,-0.03823168792167314,-0.005634578935283185,2.6183756933322027,0.09548188025418922
continuous_valid_closure,30.0,35.0,S_EM_GeV,929,32.49316398518547,25.149864211109147,0.7737111952103236,-0.2262888047896763,-0.19508045266971008,2.733894339489778,0.08413752322600027
continuous_valid_closure,30.0,35.0,C_EM_GeV,929,32.49316398518547,20.155128680463296,0.6198777842603174,-0.3801222157396827,-0.374285228815461,3.9322857316482356,0.12101886210407437
continuous_valid_closure,30.0,35.0,standard_DR_self_consistent_GeV,929,32.49316398518547,30.76538690656646,0.9465887961228799,-0.05341120387712009,-0.012086972611515256,3.1836498629564414,0.0979790661324319
continuous_valid_closure,35.0,40.0,S_EM_GeV,987,37.55064143337243,29.255152734583586,0.7791552588576185,-0.22084474114238153,-0.18452807408587324,3.164264207124498,0.08426658204331812
continuous_valid_closure,35.0,40.0,C_EM_GeV,987,37.55064143337243,23.741479390042553,0.6321742521761438,-0.36782574782385624,-0.3557188712511592,4.568715615711145,0.12166811115111299
continuous_valid_closure,35.0,40.0,standard_DR_self_consistent_GeV,987,37.55064143337243,35.68207069200037,0.950418547848724,-0.049581452151275865,0.0023782465258936902,3.625675301820788,0.09655428411932632
continuous_valid_closure,40.0,45.0,S_EM_GeV,917,42.48191186226687,33.01046192235856,0.7769202675466834,-0.22307973245331658,-0.19099649385260986,3.727118199724867,0.0877342387934135
continuous_valid_closure,40.0,45.0,C_EM_GeV,917,42.48191186226687,26.919950839254966,0.6336470173680983,-0.36635298263190175,-0.3622072780746505,5.179712844067305,0.1219274890654818
continuous_valid_closure,40.0,45.0,standard_DR_self_consistent_GeV,917,42.48191186226687,40.32906276149006,0.9490207854355214,-0.05097921456447869,-0.004436615956539325,4.182436097172669,0.09845216266943903
continuous_valid_closure,45.0,50.0,S_EM_GeV,919,47.50127020405798,36.98739016796975,0.7787069447774533,-0.2212930552225466,-0.1830893107069067,3.8759208846085578,0.08159615243883399
continuous_valid_closure,45.0,50.0,C_EM_GeV,919,47.50127020405798,30.345995527087705,0.6389770624557971,-0.36102293754420284,-0.34939542177691296,5.4351805076552875,0.11442179302377825
continuous_valid_closure,45.0,50.0,standard_DR_self_consistent_GeV,919,47.50127020405798,45.25120525794313,0.9525198824547211,-0.0474801175452789,0.008246156339850597,4.226543959174322,0.08897749346528533
continuous_valid_closure,50.0,55.0,S_EM_GeV,906,52.561308988776936,40.775524071639516,0.7756498253720208,-0.22435017462797924,-0.18587856864339075,4.5302798407141225,0.08619039228420744
continuous_valid_closure,50.0,55.0,C_EM_GeV,906,52.561308988776936,33.31507428889802,0.6336898215306371,-0.3663101784693629,-0.3541541330631627,6.160481826148461,0.11720563936989976
continuous_valid_closure,50.0,55.0,standard_DR_self_consistent_GeV,906,52.561308988776936,50.39273427927177,0.9585983172421125,-0.04140168275788754,0.010915702785695647,5.488782896367514,0.104426297631581
continuous_valid_closure,55.0,60.0,S_EM_GeV,896,57.50824224941165,44.31674860061696,0.7705073944055363,-0.22949260559446372,-0.18929120564339202,5.164873448783322,0.0898110122438347
continuous_valid_closure,55.0,60.0,C_EM_GeV,896,57.50824224941165,36.62910013507501,0.6368040897100793,-0.36319591028992065,-0.3485514307259294,7.085732803702008,0.12321247401322721
continuous_valid_closure,55.0,60.0,standard_DR_self_consistent_GeV,896,57.50824224941165,54.5399158010997,0.9482683557835642,-0.051731644216435765,0.005417729859889975,6.0953264162380485,0.10599048376061969
