split,energy_GeV,method,entries,mean_GeV,std_GeV,median_GeV,mpv_GeV,sigma68_GeV,response_mpv,resolution_sigma68_over_mpv,resolution_error,mpv_error_GeV,gauss90_mean_GeV,gauss90_sigma_GeV,response_gauss90,resolution_gauss90,resolution_gauss90_error,mean90_GeV,rms90_GeV,rms90_over_mean90,resolution_improvement_vs_S_percent,fit_strategy,role
calibration,50,S_EM_unweighted,2509,38.75716350286688,8.135243203289889,40.63603973388672,40.355865650027994,4.245796203613281,0.8071173130005599,0.10520889925725918,0.0014852075502442522,0.0847634868661397,40.74252567401023,3.778961774937049,0.8148505134802047,0.09275227081338404,0.0013802176742806417,40.74252567401023,3.778961774937049,0.09275227081338404,,two_stage_fit_to_per_energy_p_i,primary
calibration,50,CALICE_local_SC,2509,45.38701924381024,8.675179071818349,48.067364611456895,49.25331743488293,2.3195592419154885,0.9850663486976586,0.04709447734118911,0.0006648208831736719,0.04630790549249938,47.687481917735965,2.664949160057467,0.9537496383547193,0.05588362087674663,0.0008315867693640807,47.687481917735965,2.664949160057467,0.05588362087674663,55.237173210953735,two_stage_fit_to_per_energy_p_i,primary
application,5,S_EM_unweighted,2536,3.8879730232788563,0.7032466191012355,3.9508970975875854,3.9520741946995255,0.6536798477172852,0.790414838939905,0.16540171452094515,0.0023224714535801817,0.012980471611683014,3.9466611239349323,0.5240951804447002,0.7893322247869865,0.1327945734348133,0.001965655972833258,3.9466611239349323,0.5240951804447002,0.1327945734348133,,two_stage_fit_to_per_energy_p_i,primary
application,5,CALICE_local_SC,2536,4.811690348458602,0.7763441975136238,4.85575833248599,4.746564691980191,0.7458608505509772,0.9493129383960381,0.1571369819969347,0.002206423047346404,0.014810959264924416,4.884886837828265,0.600474907921233,0.976977367565653,0.12292503958765064,0.0018195648513818347,4.884886837828265,0.600474907921233,0.12292503958765064,4.996763514784403,two_stage_fit_to_per_energy_p_i,primary
application,10,S_EM_unweighted,2513,7.945371528664197,1.3617133543121227,8.101106643676758,8.151331170573831,0.9885642528533936,0.8151331170573831,0.12127641880409594,0.0017106655991950893,0.01972007933193411,8.16832900785114,0.8013442082889767,0.8168329007851141,0.09810381138158733,0.0014588834624495747,8.16832900785114,0.8013442082889767,0.09810381138158733,,two_stage_fit_to_per_energy_p_i,primary
application,10,CALICE_local_SC,2513,9.878070210407268,1.470140182092188,10.093079310696542,10.171092451618541,0.983396628135635,1.0171092451618542,0.09668544778384602,0.0013637974397460724,0.01961699451059071,10.0744546915809,0.8212789214402607,1.00744546915809,0.08152093056973035,0.0012122825380258464,10.0744546915809,0.8212789214402607,0.08152093056973035,20.276795161615862,two_stage_fit_to_per_energy_p_i,primary
application,20,S_EM_unweighted,2509,15.617048650207915,3.1114797328842125,16.189626693725586,16.423612497001887,1.7466793060302734,0.8211806248500944,0.10635171198474927,0.0015013403498778002,0.03487087493508445,16.301449063500772,1.4982605661339117,0.8150724531750386,0.09190965541146542,0.0013676789767355533,16.301449063500772,1.4982605661339117,0.09190965541146542,,two_stage_fit_to_per_energy_p_i,primary
application,20,CALICE_local_SC,2509,20.130100349571055,3.8251901327757905,21.013144366946836,21.369518119742754,1.828301117166422,1.0684759059871376,0.08555649719949937,0.0012077795368092895,0.03650038068252037,21.056190403466918,1.608090190862647,1.0528095201733458,0.07637137393086424,0.0011364586460697657,21.056190403466918,1.608090190862647,0.07637137393086424,19.553248741526524,two_stage_fit_to_per_energy_p_i,primary
application,30,S_EM_unweighted,2498,23.51250778884292,4.6556428398409615,24.41797637939453,24.60592505328357,2.4833593368530273,0.820197501776119,0.10092525810248423,0.001427869950200774,0.04968706553983251,24.52129981336513,2.115231785133775,0.8173766604455043,0.08626099763198057,0.0012864749238289464,24.52129981336513,2.115231785133775,0.08626099763198057,,two_stage_fit_to_per_energy_p_i,primary
application,30,CALICE_local_SC,2498,30.432503851627803,5.7290822695588615,31.77224540379393,31.518207421877328,2.2405022060192064,1.0506069140625776,0.07108596551922033,0.001005709729697532,0.0448279788996175,31.842370545954974,2.0177061658398285,1.0614123515318326,0.0633654508519669,0.0009450164708963301,31.842370545954974,2.0177061658398285,0.0633654508519669,29.565733240893657,two_stage_fit_to_per_energy_p_i,primary
application,40,S_EM_unweighted,2444,30.921383442640696,6.510273623177105,32.36638069152832,32.77249380663037,3.3622827529907227,0.8193123451657593,0.10259465675176913,0.0014674359153689384,0.068011700251773,32.612957481904466,2.970900429092743,0.8153239370476116,0.09109570730410355,0.001373631684229366,32.612957481904466,2.970900429092743,0.09109570730410355,,two_stage_fit_to_per_energy_p_i,primary
application,40,CALICE_local_SC,2444,38.634422893470656,7.690649769398296,40.81830591743696,40.92453929904884,2.4514019901636033,1.023113482476221,0.05990053967988293,0.0008567717467871609,0.04958655461183541,40.73955734362024,2.560777620444301,1.018488933590506,0.06285727650021498,0.0009478245368557758,40.73955734362024,2.560777620444301,0.06285727650021498,41.614367086568556,two_stage_fit_to_per_energy_p_i,primary
application,50,S_EM_unweighted,2491,38.4847376644731,8.583442894704236,40.62790298461914,41.39052154868841,4.270355224609375,0.8278104309737683,0.1031722980244663,0.0014617100816632785,0.0855612536079721,40.68356604069923,3.918454565506896,0.8136713208139846,0.09631541545760597,0.0014386656560414243,40.68356604069923,3.918454565506896,0.09631541545760597,,two_stage_fit_to_per_energy_p_i,primary
application,50,CALICE_local_SC,2491,45.094361662964815,9.246831653742918,48.05108325645259,48.71700558163005,2.5182099469297157,0.9743401116326009,0.05169057327856926,0.0007323344883751803,0.05045510000332124,47.707071965468195,2.7582214164804197,0.9541414393093639,0.05781577663112301,0.0008635956333819723,47.707071965468195,2.7582214164804197,0.05781577663112301,49.89878652667856,two_stage_fit_to_per_energy_p_i,primary
